번호,측정망,도시,측정지점,지역,측정연도,분기,주간9시,주간12시,주간16시,주간20시,주간평균,야간23시,야간01시,야간평균
2068,중앙,경남창원시,(주)유니온 정문,일반,2023,4,60.4,58.5,58.5,52.1,57,48,49.1,49
2069,중앙,경남창원시,성화기계 정문,일반,2023,1,59.7,60.1,58.9,57.6,59,55.5,52.8,54
2070,중앙,경남창원시,성화기계 정문,일반,2023,2,59.3,59.8,60.6,57.8,59,54,52.3,53
2071,중앙,경남창원시,성화기계 정문,일반,2023,3,68.283,67.26,67.962,68.18,68,65.52,63.527,65
2072,중앙,경남창원시,성화기계 정문,일반,2023,4,61.9,56.1,57.6,57.3,58,55,54.6,55
2073,중앙,경남창원시,경성엠티 정문,일반,2023,1,58.1,56.5,55.7,56.5,57,43.9,42.7,43
2074,중앙,경남창원시,경성엠티 정문,일반,2023,2,57.5,57.5,56.4,59,58,48.9,46.9,48
2075,중앙,경남창원시,경성엠티 정문,일반,2023,3,63.695,62.341,62.179,62.386,63,58.975,57.298,58
2076,중앙,경남창원시,경성엠티 정문,일반,2023,4,65.7,63.1,64.5,56.7,63,47.8,45.5,47
2077,중앙,경남창원시,화신케미칼 맞은편,도로,2023,1,64.9,64,63.8,65.7,65,51,48.8,50
2078,중앙,경남창원시,화신케미칼 맞은편,도로,2023,2,64.6,64.9,63.5,65.8,65,56.9,51.7,54
2079,중앙,경남창원시,화신케미칼 맞은편,도로,2023,3,73.239,66.854,66.396,66.365,68,63.894,59.963,62
2080,중앙,경남창원시,화신케미칼 맞은편,도로,2023,4,65.7,61.3,64,60.2,63,50,45.9,48
2081,중앙,경남창원시,(주)영진테크 정문,도로,2023,1,61.9,63.1,60.6,54.4,60,47.8,46.8,47
2082,중앙,경남창원시,(주)영진테크 정문,도로,2023,2,61.7,61.2,61,59.6,61,54.6,54.7,55
2083,중앙,경남창원시,(주)영진테크 정문,도로,2023,3,71.728,72.161,71.678,71.521,72,70.913,70.156,71
2084,중앙,경남창원시,(주)영진테크 정문,도로,2023,4,61.8,55.2,61.9,55.9,59,47.4,45.6,47
2085,중앙,경남창원시,극동목재 정문,일반,2023,1,58.6,56.6,57.4,55,57,52.8,47.7,50
2086,중앙,경남창원시,극동목재 정문,일반,2023,2,58.5,59.1,59.1,57,58,54.5,53.3,54
2087,중앙,경남창원시,극동목재 정문,일반,2023,3,70.005,68.503,67.247,66.795,68,64.298,60.891,63
2088,중앙,경남창원시,극동목재 정문,일반,2023,4,58.1,57.6,57.5,53.6,57,51.8,49.2,51
2089,중앙,경남창원시,한국마이콤 후문,일반,2023,1,58.8,60.7,58.8,57.1,59,52.8,53.5,53
2090,중앙,경남창원시,한국마이콤 후문,일반,2023,2,58.2,62,59.7,57.4,59,56.3,55.7,56
2091,중앙,경남창원시,한국마이콤 후문,일반,2023,3,70.98,69.658,70.352,69.458,70,66.519,67.464,67
2092,중앙,경남창원시,한국마이콤 후문,일반,2023,4,58.8,58.8,59.6,56,58,57.1,54.5,56
2093,중앙,경남창원시,마산도금조합 정문,일반,2023,1,58,59.6,57,56.2,58,48.5,47.2,48
2094,중앙,경남창원시,마산도금조합 정문,일반,2023,2,61.2,60.5,60.5,58,60,52.8,51.6,52
2095,중앙,경남창원시,마산도금조합 정문,일반,2023,3,56.733,58.295,58.222,59.211,58,54.879,53.635,54
2096,중앙,경남창원시,마산도금조합 정문,일반,2023,4,59.8,58.3,60.9,55.5,59,49.2,47.6,48
2097,중앙,경남창원시,KPE정문,도로,2023,1,68.8,67.7,68.2,68,68,60.6,57,59
2098,중앙,경남창원시,KPE정문,도로,2023,2,69.7,69.8,69.2,68.3,69,65.9,60.8,63
2099,중앙,경남창원시,KPE정문,도로,2023,3,71.515,70.876,71.273,70.611,71,69.804,68.136,69
2100,중앙,경남창원시,KPE정문,도로,2023,4,71.7,68.8,70.2,65.7,69,61.2,57,59
2101,중앙,경남창원시,한국열처리 정문,도로,2023,1,69.6,69.3,69.9,70.6,70,68.2,59.9,64
2102,중앙,경남창원시,한국열처리 정문,도로,2023,2,71.2,69.7,69.8,73.5,71,65.5,61.3,63
2103,중앙,경남창원시,한국열처리 정문,도로,2023,3,69.2,67.77,68.472,67.63,68,65.012,64.894,65
2104,중앙,경남창원시,한국열처리 정문,도로,2023,4,71.9,70.1,70.5,68.8,70,66,61.2,64
2105,중앙,경남창원시,창원시견인보관소,일반,2023,1,60.6,60.8,61.8,61.8,61,56,54.9,55
2106,중앙,경남창원시,창원시견인보관소,일반,2023,2,61.5,60.2,60.4,59.3,60,54.2,49.7,52
2107,중앙,경남창원시,창원시견인보관소,일반,2023,3,65.762,65.545,65.894,66.644,66,61.711,60.428,61
2108,중앙,경남창원시,창원시견인보관소,일반,2023,4,61.2,59.7,62.2,58.7,60,57.1,51.4,54
2109,중앙,경남창원시,창원벧엘교회,일반,2023,1,57.2,56.2,56.5,57.8,57,51.4,47.6,50
2110,중앙,경남창원시,창원벧엘교회,일반,2023,2,58.1,56.8,57.3,58.3,58,50.7,44.7,48
2111,중앙,경남창원시,창원벧엘교회,일반,2023,3,68.929,68.999,69.417,69.762,69,64.525,62.013,63
2112,중앙,경남창원시,창원벧엘교회,일반,2023,4,61.7,58.6,60.3,58.6,60,56.5,49,53
2113,중앙,경남창원시,프리빌리지 2차 209동,일반,2023,1,54.5,56.2,53.2,55.1,55,50.9,43,47
2114,중앙,경남창원시,프리빌리지 2차 209동,일반,2023,2,52.8,54.4,52.8,51.9,53,46.7,42.9,45
2115,중앙,경남창원시,프리빌리지 2차 209동,일반,2023,3,68.445,68.102,68.351,68.596,68,60.71,57.831,59
2116,중앙,경남창원시,프리빌리지 2차 209동,일반,2023,4,54.5,51.5,53.9,52.1,53,47.5,42.7,45
2117,중앙,경남창원시,유니온빌리지 101동,일반,2023,1,53.8,55.9,56,55.8,55,50.1,42.7,46
2118,중앙,경남창원시,유니온빌리지 101동,일반,2023,2,55.8,56,56.2,56.7,56,53.9,46.5,50
2119,중앙,경남창원시,유니온빌리지 101동,일반,2023,3,70.449,68.813,69.211,67.588,69,60.658,58.026,59
2120,중앙,경남창원시,유니온빌리지 101동,일반,2023,4,55.4,52.1,53.9,51.3,53,48.7,41,45
2121,중앙,제주제주시,문경공고조기묘,일반,2023,1,47.5,48,48,48.1,48,44.4,40.8,43
2122,중앙,제주제주시,문경공고조기묘,일반,2023,2,46.5,50.1,45.4,46.3,47,43.5,40.1,42
2123,중앙,제주제주시,문경공고조기묘,일반,2023,3,68.855,67.813,68.722,68.222,68,70.883,62.483,67
2124,중앙,제주제주시,문경공고조기묘,일반,2023,4,51.1,53.4,53,49.3,52,44.9,39.8,42
2125,중앙,제주제주시,영지초등학교,일반,2023,1,56.1,56.8,58.4,55.1,57,49.9,44.7,47
2126,중앙,제주제주시,영지초등학교,일반,2023,2,53.5,61.6,53.7,53.7,56,50.2,44.4,47
2127,중앙,제주제주시,영지초등학교,일반,2023,3,71.673,71.157,71.199,70.801,71,70.181,67.838,69
2128,중앙,제주제주시,영지초등학교,일반,2023,4,56.9,61.6,55.7,53.7,57,50.6,42.4,47
2129,중앙,제주제주시,전원어린이집,도로,2023,1,73.1,72.1,73.6,72,73,66.2,60.8,64
2130,중앙,제주제주시,전원어린이집,도로,2023,2,72.3,72.9,73.2,72.4,73,66.5,60.8,64
2131,중앙,제주제주시,전원어린이집,도로,2023,3,65.605,65.148,63.015,63.115,64,56.412,53.97,55
2132,중앙,제주제주시,전원어린이집,도로,2023,4,73.1,71.3,71.5,68.7,71,66.5,58.8,63
2133,중앙,제주제주시,유나장여관,일반,2023,1,56.4,52.3,51.1,53.6,53,46.6,44.6,46
2134,중앙,제주제주시,유나장여관,일반,2023,2,58.3,59.6,54.3,52.5,56,43.6,36.1,40
2135,중앙,제주제주시,유나장여관,일반,2023,3,70.987,72.527,71.348,70.478,71,71.746,68.133,70
2136,중앙,제주제주시,유나장여관,일반,2023,4,56.8,55.4,53,51.4,54,45.1,46.3,46
2137,중앙,제주제주시,진도빌딩,일반,2023,1,57.9,55.1,57.3,53.9,56,48.9,43.7,46
2138,중앙,제주제주시,진도빌딩,일반,2023,2,56.7,56.7,55.7,55.4,56,46.2,45,46
2139,중앙,제주제주시,진도빌딩,일반,2023,3,62.082,60.73,60.916,61.667,61,62.558,55.591,59
2140,중앙,제주제주시,진도빌딩,일반,2023,4,56.6,51.7,53.4,52,53,45.6,41.6,44
2141,중앙,제주제주시,미니월마트,일반,2023,1,60.7,57.7,57,57.4,58,46.3,47.6,47
2142,중앙,제주제주시,미니월마트,일반,2023,2,62.9,62.5,61.3,56.8,61,48.6,48.1,48
2143,중앙,제주제주시,미니월마트,일반,2023,3,70.118,69.024,67.893,66.535,68,65.284,65.9,66
2144,중앙,제주제주시,미니월마트,일반,2023,4,58.2,56.6,57.5,59,58,51.9,50.9,51
2145,중앙,제주제주시,제주대학병원,도로,2023,1,58.7,57.5,57.6,57.9,58,53.1,54,54
2146,중앙,제주제주시,제주대학병원,도로,2023,2,61.7,58.7,59.8,57,59,48.4,44.7,47
2147,중앙,제주제주시,제주대학병원,도로,2023,3,65.187,63.668,65.069,63.728,64,61.352,61.013,61
2148,중앙,제주제주시,제주대학병원,도로,2023,4,58.7,67.2,58.6,56.5,60,53.9,46,50
2149,중앙,제주제주시,굿모닝 한의원,도로,2023,1,61.2,61.6,60,60.1,61,52.7,51.3,52
2150,중앙,제주제주시,굿모닝 한의원,도로,2023,2,60.6,61.3,59.9,59.6,60,51.9,48.5,50
2151,중앙,제주제주시,굿모닝 한의원,도로,2023,3,64.082,64.116,64.673,63.881,64,61.926,65.186,64
2152,중앙,제주제주시,굿모닝 한의원,도로,2023,4,59.6,64.4,59,57.5,60,54.8,48.8,52
2153,중앙,제주제주시,월드컵식당,일반,2023,1,51.3,55.4,51.7,55.4,53,47.7,41.5,45
2154,중앙,제주제주시,월드컵식당,일반,2023,2,51,52.3,61,54.1,55,48.2,45.8,47
2155,중앙,제주제주시,월드컵식당,일반,2023,3,66.197,66.233,65.517,64.795,66,63.381,61.794,63
2156,중앙,제주제주시,월드컵식당,일반,2023,4,55,56.7,54.8,52.1,55,46.2,45.8,46
2157,중앙,제주제주시,강남인쇄소,일반,2023,1,52.1,52.2,51.6,51.2,52,42.9,37.5,40
2158,중앙,제주제주시,강남인쇄소,일반,2023,2,58.3,53.2,49.3,52.9,53,41.7,37.5,40
2159,중앙,제주제주시,강남인쇄소,일반,2023,3,70.278,68.74,70.45,68.55,70,67.556,64.181,66
2160,중앙,제주제주시,강남인쇄소,일반,2023,4,52.8,51.5,50.5,48,51,45.2,41.4,43
2161,중앙,제주제주시,영보맨션,일반,2023,1,56.9,54.8,55.7,56.5,56,49.1,51.9,51
2162,중앙,제주제주시,영보맨션,일반,2023,2,54.5,55.3,52.6,55.8,55,50.8,50.3,51
2163,중앙,제주제주시,영보맨션,일반,2023,3,66.379,65.018,64.934,66.771,66,60.277,54.506,57
2164,중앙,제주제주시,영보맨션,일반,2023,4,55,54.8,57.4,51.2,55,49.8,46.6,48
2165,중앙,제주제주시,제주동여중,도로,2023,1,65.5,65.1,66.4,66,66,62.2,59.9,61
2166,중앙,제주제주시,제주동여중,도로,2023,2,64.4,64.4,66.3,64.7,65,61,64.3,63
2167,중앙,제주제주시,제주동여중,도로,2023,3,71.612,71.321,70.553,70.018,71,63.561,61.732,63
2168,중앙,제주제주시,제주동여중,도로,2023,4,69.2,65.7,66.5,63.8,66,62,56.5,59
2169,중앙,제주제주시,수성빌라,도로,2023,1,65.7,65.6,65.6,66.3,66,63.2,60.6,62
2170,중앙,제주제주시,수성빌라,도로,2023,2,65.8,64.9,68.9,65.7,66,63.6,65.2,64
2171,중앙,제주제주시,수성빌라,도로,2023,3,68.958,68.259,68.07,67.59,68,66.497,63.994,65
2172,중앙,제주제주시,수성빌라,도로,2023,4,67.4,65.7,66.3,65.1,66,63.1,57.1,60
2173,중앙,제주제주시,봉영빌라,일반,2023,1,52.3,52.5,56,53.4,54,44.4,40,42
2174,중앙,제주제주시,봉영빌라,일반,2023,2,56.3,53,64.5,56.3,58,42.3,37.2,40
2175,중앙,제주제주시,봉영빌라,일반,2023,3,65.86,64.43,63.973,64.074,65,61.36,50.504,56
2176,중앙,제주제주시,봉영빌라,일반,2023,4,52.3,59.5,52.4,46.2,53,40.8,37.4,39
2177,중앙,제주제주시,금화빌라,일반,2023,1,56.1,68.6,57.6,54.4,59,42.3,41.2,42
2178,중앙,제주제주시,금화빌라,일반,2023,2,56.7,55.8,58.3,53.4,56,46.3,38.9,43
2179,중앙,제주제주시,금화빌라,일반,2023,3,64.407,65.056,65.095,64.662,65,60.932,58.602,60
2180,중앙,제주제주시,금화빌라,일반,2023,4,53.6,51.7,52.6,51.8,52,44.4,37.1,41
2181,중앙,제주제주시,두현슈퍼,일반,2023,1,53.6,54,55.6,54.8,55,47.9,47.8,48
2182,중앙,제주제주시,두현슈퍼,일반,2023,2,55,55.7,52.8,53.8,54,43.2,47.3,45
2183,중앙,제주제주시,두현슈퍼,일반,2023,3,62.98,61.595,60.667,62.997,62,58.546,56.461,58
2184,중앙,제주제주시,두현슈퍼,일반,2023,4,61.7,54,56,53.7,56,47.1,47.5,47
2185,중앙,제주제주시,농협도지부,도로,2023,1,67.7,68.3,68.4,67.6,68,60.6,59.7,60
2186,중앙,제주제주시,농협도지부,도로,2023,2,68.6,66.4,67.3,65.9,67,61.8,61,61
2187,중앙,제주제주시,농협도지부,도로,2023,3,69.552,69.535,68.813,69.904,69,65.409,61.935,64
2188,중앙,제주제주시,농협도지부,도로,2023,4,68.9,67.6,68.6,66.2,68,62.7,57.5,60
2189,중앙,제주제주시,서사라호텔,도로,2023,1,67.5,67.2,67,66.6,67,63.6,61.3,62
2190,중앙,제주제주시,서사라호텔,도로,2023,2,66.9,66.4,67.9,66.6,67,64.2,61.8,63
2191,중앙,제주제주시,서사라호텔,도로,2023,3,70.485,70.207,68.987,66.068,69,58.057,54.93,56
2192,중앙,제주제주시,서사라호텔,도로,2023,4,67.8,66.3,66.1,65.7,66,62.9,59.1,61
2193,중앙,제주제주시,동환빌라,일반,2023,1,56.9,56.2,58.3,56.3,57,44.3,40.2,42
2194,중앙,제주제주시,동환빌라,일반,2023,2,56.7,56.5,57.3,57.5,57,45.9,46.3,46
2195,중앙,제주제주시,동환빌라,일반,2023,3,67.666,66.419,64.876,65.214,66,58.564,55.4,57
2196,중앙,제주제주시,동환빌라,일반,2023,4,61.2,57.1,61.7,52,58,50.9,46,48
2197,중앙,제주제주시,북경세탁소,일반,2023,1,59.9,58.1,59.2,59.2,59,49.7,49.9,50
2198,중앙,제주제주시,북경세탁소,일반,2023,2,57.1,59.4,56.2,58.3,58,49,44.7,47
2199,중앙,제주제주시,북경세탁소,일반,2023,3,70.372,70.484,69.937,70.471,70,68.864,65.375,67
2200,중앙,제주제주시,북경세탁소,일반,2023,4,61.7,59,59,53.9,58,49.5,45.7,48
2201,중앙,제주제주시,은파연립,일반,2023,1,55.4,56.1,56.6,55.2,56,47.7,40.4,44
2202,중앙,제주제주시,은파연립,일반,2023,2,53.1,61.2,55.1,55.4,56,48.2,42.3,45
2203,중앙,제주제주시,은파연립,일반,2023,3,66.344,67.343,66.994,67.011,67,63.725,60.452,62
2204,중앙,제주제주시,은파연립,일반,2023,4,57.4,56.2,56.5,50.6,55,49.8,42.5,46
2205,중앙,제주제주시,신천지호텔,도로,2023,1,68.7,68.3,67.8,66.8,68,53.9,45.3,50
2206,중앙,제주제주시,신천지호텔,도로,2023,2,66.5,67.1,64.8,64.6,66,61.1,55.6,58
2207,중앙,제주제주시,신천지호텔,도로,2023,3,63.249,61.931,62.559,61.857,62,56.045,53.009,55
2208,중앙,제주제주시,신천지호텔,도로,2023,4,67.7,66.5,65.4,60.2,65,53.6,51,52
2209,중앙,제주제주시,행남자기 총판,도로,2023,1,68.6,67.9,68.3,66.8,68,60.1,55.3,58
2210,중앙,제주제주시,행남자기 총판,도로,2023,2,66.5,67.6,66.2,65.1,66,59.4,60.9,60
2211,중앙,제주제주시,행남자기 총판,도로,2023,3,70.252,69.544,68.956,69.287,70,64.547,59.004,62
2212,중앙,제주제주시,행남자기 총판,도로,2023,4,69.3,68.5,68.5,63,67,58.4,52.9,56
2213,중앙,제주제주시,파나나모텔,일반,2023,1,65.1,67.9,62.5,59.7,64,62.2,59.1,61
2214,중앙,제주제주시,파나나모텔,일반,2023,2,56.8,56.6,59.1,60.7,58,60.6,58.3,59
2215,중앙,제주제주시,파나나모텔,일반,2023,3,69.609,70.426,71.955,70.271,71,66.641,63.816,65
2216,중앙,제주제주시,파나나모텔,일반,2023,4,56.8,57.9,59.4,59.1,58,61.4,55.3,58
2217,중앙,제주제주시,실크로드,일반,2023,1,59.9,60.1,60.9,62.4,61,60.3,58.8,60
2218,중앙,제주제주시,실크로드,일반,2023,2,60.4,61.1,63.2,59.6,61,60.1,57.6,59
2219,중앙,제주제주시,실크로드,일반,2023,3,66.132,66.553,65.806,65.899,66,66.783,61.002,64
2220,중앙,제주제주시,실크로드,일반,2023,4,62,62.1,66.4,61.7,63,60.2,57,59
2221,중앙,제주제주시,로얄쇼핑,일반,2023,1,61.2,61.4,61.3,62.2,62,58.4,54.8,57
2222,중앙,제주제주시,로얄쇼핑,일반,2023,2,60.8,60.4,61.1,60,61,58.7,54.6,57
2223,중앙,제주제주시,로얄쇼핑,일반,2023,3,69.752,69.709,70.673,70.336,70,68.636,66.67,68
2224,중앙,제주제주시,로얄쇼핑,일반,2023,4,55.5,56.9,57.4,59.4,57,55.8,54.4,55
2225,중앙,제주제주시,밸리스불가마,도로,2023,1,70,70.2,70.6,69.8,70,67.5,64.7,66
2226,중앙,제주제주시,밸리스불가마,도로,2023,2,70.7,71,71.6,71.7,71,67.6,67.3,67
2227,중앙,제주제주시,밸리스불가마,도로,2023,3,68.598,68.505,67.392,67.143,68,58.016,55.052,57
2228,중앙,제주제주시,밸리스불가마,도로,2023,4,70,70.4,72.1,70.5,71,67.5,68.3,68
2229,중앙,제주제주시,영미사 사진관,도로,2023,1,69.2,69,69,69.1,69,65.3,65.6,65
2230,중앙,제주제주시,영미사 사진관,도로,2023,2,68.6,67.9,68.7,68.1,68,64.8,62.4,64
2231,중앙,제주제주시,영미사 사진관,도로,2023,3,67.411,67.136,67.226,65.423,67,56.999,54.858,56
2232,중앙,제주제주시,영미사 사진관,도로,2023,4,68,67.7,67.9,67.8,68,66.9,66,66
2233,중앙,제주제주시,대경폐차장,일반,2023,1,62.3,61.3,62.1,61.6,62,46.6,43.4,45
2234,중앙,제주제주시,대경폐차장,일반,2023,2,57.1,54.9,50.5,53.2,54,43.3,42.7,43
2235,중앙,제주제주시,대경폐차장,일반,2023,3,67.284,68.539,68.849,68.996,68,67.854,66.332,67
2236,중앙,제주제주시,대경폐차장,일반,2023,4,62.4,62.2,62.4,58.1,61,44.2,43.4,44
2237,중앙,제주제주시,탐라사료북쪽,일반,2023,1,66.4,67.7,68.3,67.1,67,57.5,54.9,56
2238,중앙,제주제주시,탐라사료북쪽,일반,2023,2,64.2,63,63.2,64.6,64,58.9,54.2,57
2239,중앙,제주제주시,탐라사료북쪽,일반,2023,3,67.905,66.408,66.767,67.455,67,61.701,62.584,62
2240,중앙,제주제주시,탐라사료북쪽,일반,2023,4,67.9,66.7,65,61.3,65,57.4,54.3,56
2241,중앙,제주제주시,제주레미콘,일반,2023,1,70.5,70.5,67.9,65.6,69,59.2,60,60
2242,중앙,제주제주시,제주레미콘,일반,2023,2,63.4,64.4,63.1,63.1,64,60,61.3,61
2243,중앙,제주제주시,제주레미콘,일반,2023,3,70.53,69.546,69.768,69.835,70,65.09,63.002,64
2244,중앙,제주제주시,제주레미콘,일반,2023,4,69.6,69.6,67.6,61.1,67,61.3,59.5,60
2245,중앙,제주제주시,공단카센터,도로,2023,1,67.8,66.8,67.5,66.7,67,60.5,55.4,58
2246,중앙,제주제주시,공단카센터,도로,2023,2,65.8,65.3,64.8,66.2,66,60.2,54,57
2247,중앙,제주제주시,공단카센터,도로,2023,3,67.995,66.455,65.993,66.097,67,61.335,60.469,61
2248,중앙,제주제주시,공단카센터,도로,2023,4,69.6,68.6,68.5,65.1,68,61.5,58.1,60
2249,중앙,제주제주시,경동기계앞,도로,2023,1,73.2,72.5,72.6,71.5,72,69.2,65.1,67
2250,중앙,제주제주시,경동기계앞,도로,2023,2,73.5,72.8,73.3,73.5,73,70.1,67.4,69
2251,중앙,제주제주시,경동기계앞,도로,2023,3,70.18,69.674,70.285,69.484,70,69.787,69.796,70
2252,중앙,제주제주시,경동기계앞,도로,2023,4,74.8,73.8,74,72,74,69.7,63.9,67
2253,중앙,제주제주시,함께하는 어린이집 맞은편,일반,2023,1,58.1,57,56,57.6,57,47.9,43.9,46
2254,중앙,제주제주시,함께하는 어린이집 맞은편,일반,2023,2,58.9,58,57.7,58.4,58,51.8,39.5,46
2255,중앙,제주제주시,함께하는 어린이집 맞은편,일반,2023,3,72.746,72.302,71.415,71.203,72,70.159,69.064,70
2256,중앙,제주제주시,함께하는 어린이집 맞은편,일반,2023,4,60.4,56.5,58.4,55.8,58,49.2,40.8,45
2257,중앙,제주제주시,온누리주유소,도로,2023,1,71.7,70.9,71.4,68,71,68.4,63.9,66
2258,중앙,제주제주시,온누리주유소,도로,2023,2,69.9,70,70.5,70,70,66.5,63.5,65
2259,중앙,제주제주시,온누리주유소,도로,2023,3,67.637,67.096,65.378,65.717,66,50.39,51.321,51
2260,중앙,제주제주시,온누리주유소,도로,2023,4,69.9,70.3,70.3,69.1,70,66.9,61.8,64
2261,지방,서울특별시,정민약국앞,일반,2023,1,59.5,63.1,60,62.9,61,58.5,54.5,57
2262,지방,서울특별시,정민약국앞,일반,2023,2,59,62.7,58.6,62,61,57.7,57,57
2263,지방,서울특별시,정민약국앞,일반,2023,3,59.494,67.927,77.611,64.345,67,59.484,56.488,58
2264,지방,서울특별시,정민약국앞,일반,2023,4,62.3,65,62.7,64.5,64,59.7,59.4,60
2265,지방,서울특별시,병원 시계탑 건물 앞,일반,2023,1,54.8,55.6,54,53.2,54,50.9,50.4,51
2266,지방,서울특별시,병원 시계탑 건물 앞,일반,2023,2,56.1,56.1,55.7,54.8,56,55.3,59.2,57
2267,지방,서울특별시,병원 시계탑 건물 앞,일반,2023,3,52.782,56.37,56.719,56.099,55,52.553,49.252,51
2268,지방,서울특별시,병원 시계탑 건물 앞,일반,2023,4,56.5,57.2,56.1,55.3,56,54,53.7,54
2269,지방,서울특별시,간호사 기숙사 옆,일반,2023,1,63.3,50.8,52.5,47.3,53,44.9,44,44
2270,지방,서울특별시,간호사 기숙사 옆,일반,2023,2,64.9,63.8,52,55.4,59,48.8,54.7,52
2271,지방,서울특별시,간호사 기숙사 옆,일반,2023,3,54.484,63.397,65.648,65.301,62,62.281,57.585,60
2272,지방,서울특별시,간호사 기숙사 옆,일반,2023,4,54.5,55,54.6,50.2,54,49,48.9,49
2273,지방,서울특별시,히포크라테스 동상 옆,도로,2023,1,61,61.5,62.3,67,63,60.8,58.9,60
2274,지방,서울특별시,히포크라테스 동상 옆,도로,2023,2,66.2,62.9,61.7,63.6,64,61.4,63.9,63
2275,지방,서울특별시,히포크라테스 동상 옆,도로,2023,3,59.4,54.2,58.5,50.1,56,43.9,43.4,44
2276,지방,서울특별시,히포크라테스 동상 옆,도로,2023,4,63.7,61.8,62,62,62,62.6,58.6,61
2277,지방,서울특별시,치의학 대학원 조형물 앞,도로,2023,1,68.5,69,68.5,68.4,69,67.4,67.1,67
2278,지방,서울특별시,치의학 대학원 조형물 앞,도로,2023,2,67.3,67.9,66.9,68.5,68,67.6,71.3,69
2279,지방,서울특별시,치의학 대학원 조형물 앞,도로,2023,3,64.9,65.2,65.9,48.5,61,50.1,47.2,49
2280,지방,서울특별시,치의학 대학원 조형물 앞,도로,2023,4,67.9,69.6,69.1,68.9,69,68.7,67.2,68
2281,지방,서울특별시,중앙수퍼마켓 사거리,일반,2023,1,53.7,63.3,57.8,63.5,60,51.4,41.5,46
2282,지방,서울특별시,중앙수퍼마켓 사거리,일반,2023,2,57.6,55.6,58.6,47.8,55,50.3,50.6,50
2283,지방,서울특별시,중앙수퍼마켓 사거리,일반,2023,3,59.666,62.265,67.039,56.407,61,54.875,54.69,55
2284,지방,서울특별시,중앙수퍼마켓 사거리,일반,2023,4,51.1,63.9,60.4,62.9,60,53.4,55.8,55
2285,지방,서울특별시,면목6동 나윤빌라 앞,일반,2023,1,53.7,60.5,58.1,57.2,57,54.7,55.5,55
2286,지방,서울특별시,면목6동 나윤빌라 앞,일반,2023,2,52.5,55,56.4,55.6,55,56.4,52.3,54
2287,지방,서울특별시,면목6동 나윤빌라 앞,일반,2023,3,54.577,63.123,65.684,59.603,61,53.221,53.215,53
2288,지방,서울특별시,면목6동 나윤빌라 앞,일반,2023,4,60.6,50.4,59.6,58.5,57,45,54,50
2289,지방,서울특별시,면목성당 앞,일반,2023,1,52.5,59.5,60.2,60.7,58,53.1,49.8,51
2290,지방,서울특별시,면목성당 앞,일반,2023,2,61,66.2,58.3,55.3,60,52.1,51.5,52
2291,지방,서울특별시,면목성당 앞,일반,2023,3,63.988,61.241,62.105,62.972,63,61.327,61.21,61
2292,지방,서울특별시,면목성당 앞,일반,2023,4,58.8,62.6,56.7,59.9,60,55.6,43.8,50
2293,지방,서울특별시,면목본동 주민센터 앞,도로,2023,1,68.7,67.2,68.1,66.3,68,67.6,66.4,67
2294,지방,서울특별시,면목본동 주민센터 앞,도로,2023,2,68.3,65.1,66.1,66.7,67,64.2,64,64
2295,지방,서울특별시,면목본동 주민센터 앞,도로,2023,3,61.8,60.4,60.6,57.5,60,56.2,56.3,56
2296,지방,서울특별시,면목본동 주민센터 앞,도로,2023,4,65,67,67.6,68,67,67.7,62.8,65
2297,지방,서울특별시,명동빈대떡 앞,도로,2023,1,65.9,66.6,67.4,67.6,67,68.2,67.3,68
2298,지방,서울특별시,명동빈대떡 앞,도로,2023,2,69.1,68.8,69.2,66.9,69,67.7,65.2,66
2299,지방,서울특별시,명동빈대떡 앞,도로,2023,3,60.6,60.8,59.3,58.4,60,55.4,53.9,55
2300,지방,서울특별시,명동빈대떡 앞,도로,2023,4,70.3,67.5,70.3,71.2,70,68.1,66.9,68
2301,지방,서울특별시,현대아트빌라 앞,일반,2023,1,56.6,58.9,53.3,56.6,56,55.7,42.3,49
2302,지방,서울특별시,현대아트빌라 앞,일반,2023,2,60.4,50.6,58.6,59.6,57,40.9,43.8,42
2303,지방,서울특별시,현대아트빌라 앞,일반,2023,3,60.454,61.652,58.922,57.266,60,58.335,58.438,58
2304,지방,서울특별시,현대아트빌라 앞,일반,2023,4,54.2,56,54.3,58.8,56,55.9,45.7,51
2305,지방,서울특별시,미아3동 성당주차장,일반,2023,1,55.2,57.4,54.7,59.3,57,51,50.2,51
2306,지방,서울특별시,미아3동 성당주차장,일반,2023,2,54.2,55.9,56.7,57.9,56,43.6,45.9,45
2307,지방,서울특별시,미아3동 성당주차장,일반,2023,3,67.298,68.939,68.804,66.532,68,66.463,66.606,67
2308,지방,서울특별시,미아3동 성당주차장,일반,2023,4,57.1,60.2,58.9,50.4,57,49,45.5,47
2309,지방,서울특별시,현대빌라 앞,일반,2023,1,58.4,60.5,61.5,61.4,60,40.1,44.6,42
2310,지방,서울특별시,현대빌라 앞,일반,2023,2,56.7,59.2,59.8,59,59,41.8,43.1,42
2311,지방,서울특별시,현대빌라 앞,일반,2023,3,59.31,58.771,59.176,58.686,59,60.337,56.801,59
2312,지방,서울특별시,현대빌라 앞,일반,2023,4,55.6,61.3,51.1,60.5,57,53.1,43.3,48
2313,지방,서울특별시,성신병원 앞,도로,2023,1,73.8,72.2,71.6,72,72,69.4,71.5,70
