측정지점,주소,법적,지역,용도구분,위도,경도
[IOT]중촌 경희한의원 앞,대전광역시 중구 선화동 161-2,다,도로,상업지역,36.3354707,127.4168946
[IOT]CU편의점 앞,대전광역시 중구 선화동 144-2,다,일반,상업지역,36.3344172,127.4175229
[IOT]용인빌라 앞,대전광역시 중구 선화동 191-1,나,일반,일반주거지역,36.3319404,127.4171169
[IOT]새하늘교회 앞,대전광역시 중구 오류동 184-53,나,도로,일반주거지역,36.3271431,127.4034263
[IOT]보성빌딩 앞,대전광역시 중구 오류동 170-1,나,도로,일반주거지역,36.3221312,127.404684
[IOT]오류어린이공원 앞,대전광역시 중구 오류동 185-1,나,일반,일반주거지역,36.3267523,127.4038692
[IOT]삼성아파트 8동 건너편,대전광역시 중구 오류동 171-17,다,일반,상업지역,36.3221356,127.4057465
[IOT]충일교회 앞,대전광역시 중구 옥계동 42-10,나,도로,일반주거지역,36.3004391,127.4539927
[IOT]옥계동 솔빛아파트 101동 앞,대전광역시 중구 옥계동 45-3,나,일반,일반주거지역,36.2992082,127.454637
[IOT]더 할인마트 앞,대전광역시 중구 선화동 878,다,도로,상업지역,36.3235691,127.414445
[IOT]마라본공원 앞,대전광역시 중구 유천동 316-18,나,일반,일반주거지역,36.3204444,127.3943406
[IOT]대전 출입국사무소 앞,대전광역시 중구 중촌동 16-8,가,도로,종합병원지역,36.3366293,127.4109977
[IOT]하나로정육식당 건너편,대전광역시 중구 태평동 411-33,나,도로,일반주거지역,36.3268005,127.3923211
[IOT]삼부4단지아파트 410동 뒷편,대전광역시 중구 태평동 393,나,도로,일반주거지역,36.3222288,127.392018
[IOT]드림교회 앞,대전광역시 중구 태평동 371-30,나,일반,일반주거지역,36.327905,127.3929407
[IOT]예은축산 맞은편,대전광역시 중구 안영동 699-1,나,일반,일반주거지역,36.2856083,127.3804344
[IOT]김밥나라 문화2호점,대전광역시 중구 문화동 418-10,나,일반,일반주거지역,36.313594,127.4047589
상록스토아,대전광역시 서구 둔산2동 907,나,도로,일반주거지역,36.36213973,127.3912168
유진투자증권,대전광역시 서구 둔산동 1174,다,도로,상업지역,36.35106275,127.3812819
[IOT]새소망교회 좌측,대전광역시 서구 가수원동 784-3,나,도로,일반주거지역,36.2997398,127.352353
[IOT]가수원경로당 앞,대전광역시 서구 가수원동 788-4,나,일반,일반주거지역,36.3007522,127.3530783
[IOT]S-OIL 건너편,대전광역시 서구 가장동 36-15,나,도로,일반주거지역,36.3285437,127.384766
[IOT]성경빌딩 앞,대전광역시 서구 갈마동 268-20,나,도로,일반주거지역,36.3530158,127.3694922
[IOT]우정빌라 앞,대전광역시 서구 갈마동 366-6,나,도로,일반주거지역,36.3481677,127.368073
[IOT]성호빌라 뒷편,대전광역시 서구 갈마동 337-21,나,일반,일반주거지역,36.34908,127.3674462
[IOT]건양대학교 주차장 앞,대전광역시 서구 관저동 1643,가,일반,종합병원지역,36.306642,127.342613
[IOT]관저2동 우체국 앞,대전광역시 서구 관저동 1136,나,일반,일반주거지역,36.2990563,127.3287537
[IOT]우정유치원 건너편,대전광역시 서구 관저동 1146,나,도로,일반주거지역,36.2965935,127.3296198
[IOT]올리브영 앞,대전광역시 서구 관저동 1349,다,도로,상업지역,36.2987107,127.3401855
[IOT]어반힐스아파트 501동 앞,대전광역시 서구 관저동 1593,나,도로,일반주거지역,36.2948909,127.3427934
[IOT]해뜰마을 어린이도서관 옆,대전광역시 서구 관저동 1517,나,일반,준주거지역,36.2980742,127.3382808
[IOT]세븐일레븐 옆,대전광역시 서구 관저동 1564-1,나,도로,일반주거지역,36.2951308,127.3376748
[IOT]건양대학교 입구 옆,대전광역시 서구 관저동 1900,가,도로,종합병원지역,36.3032469,127.3411129
[IOT]서부농협 괴정지점 앞,대전광역시 서구 괴정동 86-1,나,도로,일반주거지역,36.3372121,127.3834123
[IOT]크린아이 맞은편,대전광역시 서구 괴정동 79-16,나,일반,일반주거지역,36.3376797,127.383207
[IOT]멕시칸 양념치킨 앞,대전광역시 서구 내동 23-37,나,도로,일반주거지역,36.3323986,127.3751019
[IOT]한빛교회 앞,대전광역시 서구 내동 136-5,나,일반,일반주거지역,36.3348866,127.3734847
[IOT]해성빌라 우측편,대전광역시 서구 도마동 61-9,나,도로,일반주거지역,36.3205116,127.3738069
[IOT]참동물병원 앞,대전광역시 서구 도마동 129-16,나,도로,일반주거지역,36.3157591,127.379119
[IOT]대림아파트 1동 앞,대전광역시 서구 도마동 62-1,나,일반,일반주거지역,36.3202231,127.3748249
[IOT]도마1동 행정복지센터 앞,대전광역시 서구 도마동 132-4,나,일반,일반주거지역,36.3158059,127.3808437
[IOT]초록마을 옆,대전광역시 서구 도안동 1247,나,도로,일반주거지역,36.3199772,127.3438002
[IOT]해영우 빌딩 앞,대전광역시 서구 도안동 1358,나,일반,일반주거지역,36.319687,127.3420738
[IOT]윗용소어린이공원,대전광역시 서구 도안동 1657,나,일반,일반주거지역,36.3080022,127.3495577
[IOT]샘머리아파트 222동 앞,대전광역시 서구 둔산동 908,나,도로,일반주거지역,36.3613831,127.393385
[IOT]샘머리2단지 204동 옆,대전광역시 서구 둔산동 908,나,도로,일반주거지역,36.3625274,127.3928022
[IOT]현대해상 앞,대전광역시 서구 둔산동 1298,다,도로,상업지역,36.3532942,127.3826014
[IOT]대대로 감자탕족발 건너편,대전광역시 서구 둔산동 923,다,도로,상업지역,36.3589924,127.388141
[IOT]대전청사자연마당 앞,대전광역시 서구 둔산동 930,다,도로,상업지역,36.3587459,127.3848849
[IOT]늘푸른약국 건너편,대전광역시 서구 둔산동 1339,다,일반,상업지역,36.3541176,127.3809727
[IOT]만년고교 뒷편,대전광역시 서구 만년동 9,가,도로,학교지역,36.3672757,127.3735349
[IOT]귀뚜라미보일러 앞,대전광역시 서구 변동 252-43,나,도로,일반주거지역,36.3292045,127.3699281
[IOT]궁전하이츠 옆,대전광역시 서구 변동 254-331,나,일반,일반주거지역,36.3303577,127.3698597
[IOT]한빛순복음교회 옆,대전광역시 서구 변동 5-32,나,일반,일반주거지역,36.3274418,127.385542
[IOT]센트럴자이 101동 앞,대전광역시 서구 복수동 1004,나,도로,일반주거지역,36.3067526,127.3729334
[IOT]한밭주택 옆,대전광역시 서구 복수동 283-245,나,일반,일반주거지역,36.3096344,127.3763893
[IOT]새싹어린이집 건너편,대전광역시 서구 용문동 282-1,나,도로,일반주거지역,36.3339935,127.3935785
[IOT]용문빌리지 옆,대전광역시 서구 용문동 282-29,나,일반,일반주거지역,36.333739,127.392989
[IOT]하나로아파트 110동 옆,대전광역시 서구 월평동 311,나,도로,일반주거지역,36.3620173,127.3669292
[IOT]월평2동우체국 앞,대전광역시 서구 월평동 218-4,나,도로,일반주거지역,36.363557,127.3736728
[IOT]부일지업사 앞,대전광역시 서구 월평동 338,나,도로,일반주거지역,36.3563398,127.3607838
[IOT]용문 오토바이 앞,대전광역시 서구 월평동 1020,나,일반,일반주거지역,36.3558909,127.3600318
[IOT]정림초교 건너편,대전광역시 서구 정림동 639,나,도로,일반주거지역,36.3034815,127.3645633
[IOT]뉴딜사업 현장지원센터 앞,대전광역시 서구 정림동 118-12,나,일반,일반주거지역,36.3025624,127.3676595
[IOT]아프리카동물메디컬센터 앞,대전광역시 서구 탄방동 605,나,도로,준주거지역,36.3454705,127.3817274
[IOT]아이수안경 앞,대전광역시 서구 탄방동 753,나,도로,준주거지역,36.3464117,127.3889658
[IOT]개나리아파트 106동 뒷편,대전광역시 서구 탄방동 612,나,일반,준주거지역,36.3453848,127.3822372
[IOT]두울샤브칼국수 앞,대전광역시 서구 탄방동 788,나,일반,준주거지역,36.3457982,127.3895488
[IOT]도안린풀하우스18단지 정문 앞,대전광역시 서구 도안동 1564,나,도로,일반주거지역,36.3107281,127.3493708
열매마을7단지 정문,대전광역시 유성구 은구비남로 55 앞,나,도로,일반주거지역,36.37342411,127.3209129
[IOT]케이벨 우측 도로변,대전광역시 유성구 관평동 1332,다,도로,준공업지역,36.4318978,127.389878
[IOT]대덕테크노밸리5단지 501동옆,대전광역시 유성구 관평동 669,나,도로,일반주거지역,36.4200613,127.3872888
[IOT]더클래식 빌딩 앞,대전광역시 유성구 용산동 612,나,도로,준주거지역,36.4220911,127.3970486
[IOT]교촌빌딩 건너편,대전광역시 유성구 교촌동 624-19,나,도로,일반주거지역,36.3036239,127.3174721
[IOT]진잠향교 옆,대전광역시 유성구 교촌동 630-4,나,일반,일반주거지역,36.3035814,127.31524
[IOT]농수산도매시장 제2문 우측편,대전광역시 유성구 노은동 566,다,도로,상업지역,36.3651199,127.3202617
[IOT]성산수도원 입구,대전광역시 유성구 반석동 80,가,일반,녹지지역,36.3941286,127.3153217
[IOT]엘케이팹티모 앞,대전광역시 유성구 복용동 251-5,다,일반,준공업지역,36.3373301,127.3221529
[IOT]복용삼거리 앞,대전광역시 유성구 복용동 175-4,다,도로,준공업지역,36.3407579,127.3201682
[IOT]족욕체험장 건너편,대전광역시 유성구 봉명동 549-1,다,도로,상업지역,36.3545584,127.3443206
[IOT]구암어린이공원,대전광역시 유성구 봉명동 557-5,나,일반,일반주거지역,36.3511082,127.3388702
[IOT]휴먼시아4단지아파트 401동 앞,대전광역시 유성구 상대동 465,나,도로,일반주거지역,36.345626,127.3374815
[IOT]어은어린이공원 앞,대전광역시 유성구 어은동 108-14,나,일반,일반주거지역,36.3626656,127.3553382
[IOT]화로연담 옆,대전광역시 유성구 원신흥동 568-8,나,일반,일반주거지역,36.3350018,127.3378301
[IOT]두유빈스 앞,대전광역시 유성구 원신흥동 540-2,나,도로,일반주거지역,36.3380648,127.3384252
[IOT]장대초등학교 옆,대전광역시 유성구 장대동 348,나,도로,일반주거지역,36.3617242,127.3395827
[IOT]유성온천교회 앞,대전광역시 유성구 장대동 274-27,다,도로,상업지역,36.3591978,127.3338812
[IOT]창원빌라 앞,대전광역시 유성구 장대동 366-1,나,일반,일반주거지역,36.3592052,127.3381053
[IOT]장대노인회관 앞,대전광역시 유성구 장대동 279-3,다,일반,상업지역,36.3590052,127.335522
[IOT]엑스포유치원 앞,대전광역시 유성구 전민동 467-3,가,도로,학교지역,36.3997344,127.4077359
[IOT]포도과수원 앞,대전광역시 유성구 전민동 644,가,일반,녹지지역,36.4083153,127.395732
[IOT]롯데엑스포2단지 206동 뒷편,대전광역시 유성구 전민동 464-4,나,일반,일반주거지역,36.399931,127.4106765
[IOT]이서빌 우측,대전광역시 유성구 지족동 1012-4,나,도로,일반주거지역,36.3867287,127.3030699
[IOT]열매마을대우3단지 307동 건너편,대전광역시 유성구 지족동 874,가,도로,녹지지역,36.378972,127.3196485
[IOT]백억프라자 좌측,대전광역시 유성구 지족동 1048-7,가,도로,녹지지역,36.3782468,127.30569
[IOT]투썸플레이스 앞,대전광역시 유성구 지족동 910-10,나,일반,준주거지역,36.3741938,127.3196823
[IOT]커피가주차장 좌측,대전광역시 유성구 탑립동 624-10,가,도로,녹지지역,36.4090351,127.3954911
[IOT]배재대학교 산학협력단 건너편,대전광역시 유성구 송강동 187-7,가,도로,녹지지역,36.4324202,127.3873556
동대전산정현교회,대전광역시 대덕구 법2동 196-2,가,도로,학교지역,36.36535367,127.4343252
[IOT]삼양패키징 앞,대전광역시 대덕구 문평동 78-3,라,도로,전용공업지역,36.4489866,127.404805
[IOT]옥봉화학 정문 옆,대전광역시 대덕구 문평동 51-4,라,일반,전용공업지역,36.4486467,127.401162
[IOT]P&C테크앞,대전광역시 대덕구 신일동 1688-32,라,도로,일반공업지역,36.4405532,127.4110454
[IOT]대창아파트 정문 우측,대전광역시 대덕구 상서동 141,라,도로,일반공업지역,36.4264029,127.4252842
[IOT]호수식당 맞은편,대전광역시 대덕구 평촌동 140,라,일반,일반공업지역,36.4367153,127.4342955
[IOT]삼진정밀 뒤편,대전광역시 대덕구 대화동 40-55,라,도로,전용공업지역,36.3672466,127.4066628
[IOT]대덕폐차사업소 맞은편,대전광역시 대덕구 대화동 227,라,도로,전용공업지역,36.3681832,127.4101794
[IOT]대일탕 앞,대전광역시 대덕구 대화동 35-57,나,일반,일반주거지역,36.3650037,127.4160681
[IOT]현대자동차대전대화대리점 앞,대전광역시 대덕구 대화동 16-236,나,도로,일반주거지역,36.3668478,127.4190519
[IOT]바우배기어린이공원 앞,대전광역시 대덕구 법동 280-1,나,일반,일반주거지역,36.3725249,127.4248594
[IOT]삼호아파트 2동 앞,대전광역시 대덕구 법동 280-2,나,도로,일반주거지역,36.3729836,127.4256083
[IOT]근로복지공단 대전병원 옆,대전광역시 대덕구 법동 286,가,일반,종합병원지역,36.3672503,127.4283205
"[IOT]소롱골 어린이공원(구, 애경화장품)",대전광역시 대덕구 법동 197-1,가,일반,학교지역,36.3670119,127.4325668
[IOT]대전 양지초등학교 옆,대전광역시 대덕구 법동 196-2,가,도로,학교지역,36.3653598,127.433692
[IOT]대양빌라 103동 맞은편,대전광역시 대덕구 비래동 144-42,나,일반,일반주거지역,36.355695,127.4522689
[IOT]하버드사진관 앞,대전광역시 대덕구 비래동 138-5,나,도로,일반주거지역,36.3561692,127.4505285
[IOT]디에이치인테리어 앞,대전광역시 대덕구 송촌동 548-13,나,도로,일반주거지역,36.3619772,127.4463147
[IOT]송촌서오아파트 105동 옆,대전광역시 대덕구 송촌동 555,나,일반,일반주거지역,36.3593948,127.4454806
[IOT]럭키스포츠프라자 앞,대전광역시 대덕구 중리동 362-1,나,도로,일반주거지역,36.3663083,127.4228347
[IOT]볼보대리점 앞,대전광역시 대덕구 중리동 230-8,나,도로,일반주거지역,36.3584231,127.4220506
[IOT]해오름빌 앞,대전광역시 대덕구 중리동 223-2,나,일반,일반주거지역,36.3574765,127.4221679
무룡초교 뒤,울산광역시 중구 약사동 800-49,가,도로,학교지역,35.56866117,129.3312693
ESTN당구클럽,울산광역시 남구 달동 1279-1,나,도로,준주거지역,35.53570109,129.3329644
우체국,울산광역시 남구 신정동 643-8,다,도로,상업지역,35.54063375,129.3117321
전하펌프장 건너편,울산광역시 동구 전하동 280-3,가,도로,종합병원지역,35.518954,129.4313264
패밀리아파트,울산광역시 동구 동부동 150-1,나,도로,일반주거지역,35.5428337,129.4303608
세종충남대병원,세종특별자치시 아름동 804,가,도로,종합병원지역,36.51889688,127.2561317
새뜸중학교,세종특별자치시 새롬동 산18,가,도로,학교지역,36.48759218,127.2525558
새샘마을5단지,세종특별자치시 소담동 587,나,도로,준주거지역,36.48006134,127.3063117
계룡아파트,세종특별자치시 조치원읍 교리 28-1,나,도로,준주거지역,36.60422393,127.2974815
신흥푸르지오,세종특별자치시 조치원읍 신흥리 398,나,도로,준주거지역,36.59309708,127.2894477
화서동,경기도 수원시 장안구 정자동 111 앞 보도,다,도로,상업지역,37.28700405,126.9924967
신나무실,경기도 수원시 영통구 영통동 965-2 앞 보도,나,도로,일반주거지역,37.25219965,127.0657725
한국은행앞,경기도 수원시 장안구 영화동 439 앞 보도,나,도로,준주거지역,37.28708484,127.0101397
호텔엠베서더,경기도 수원시 권선구 권선동 1015-6,다,도로,상업지역,37.25914495,127.0307171
강원향군회관,강원도 춘천시 효자동 757번지 앞 보도,나,도로,일반주거지역,37.87884683,127.740942
도로교통안전공단,강원도 춘천시 우두동 761-13 앞 보도,나,도로,준주거지역,37.90344855,127.7268838
강원대학교 후문,강원도 춘천시 효자동 633-2,가,도로,종합병원지역,37.8724,127.7461
대륙마트,강원도 원주시 개운동 447-7 앞 보도,가,도로,종합병원지역,37.33049788,127.9502036
제일주유소,강원도 원주시 무실동 1642-7 앞 보도,나,도로,일반주거지역,37.33499726,127.9292165
단구동,강원도 원주시 명륜동 822-1,나,도로,일반주거지역,37.32909921,127.9452324
청주 흰돌감리교회 앞,충청북도 청주시 서원구 개신동 41-34 건너편 보도,가,도로,종합병원지역,36.62847761,127.4623134
청주기계공고뒷편,충청북도 청주시 상당구 영동 79옆 화단,가,도로,학교지역,36.64005968,127.4844437
LG주유소 건너편,충청북도 청주시 서원구 산남동 332-8 도로,나,도로,일반주거지역,36.61657873,127.4701798
운천·신봉동사무소 앞,충청북도 청주시 흥덕구 운천동 967앞 보도,나,도로,준주거지역,36.64402351,127.4757127
브이테크놀로지코리아 뒤편,충청남도 천안시 서북구 백석동 718,라,도로,일반공업지역,36.82810661,127.1131118
천안두정행복주택1단지 앞,충청남도 천안시 서북구 두정동 71-10,나,도로,일반주거지역,36.83215867,127.145766
파리바게뜨 우측편,충청남도 천안시 서북구 불당동 1825,나,도로,준주거지역,36.8070232,127.1054297
단국대학교부속병원 앞,충청남도 천안시 동남구 안서동 522,가,도로,종합병원지역,36.84125004,127.1745781
천안제일고등학교 앞,충청남도 천안시 동남구 원성동 260,가,도로,학교지역,36.80631588,127.1550104
가장맛있는족발 뒷편,충청남도 천안시 동남구 청당동 597,나,도로,일반주거지역,36.78510555,127.1583209
효자파출소,전라북도 전주시 완산구 효자동1가 294-5 앞 보도,나,도로,일반주거지역,35.80636766,127.119645
전주요단교회 앞,전라북도 전주시 덕진구 우아동2가 904-7,나,도로,일반주거지역,35.86889287,127.1166823
영월드당구장(허병원 앞),전라북도 전주시 덕진구 금암동 1546-9,가,도로,종합병원지역,35.8433587,127.1386514
여수제일병원 측면,전라남도 여수시 학동 40-4,가,도로,종합병원지역,34.76593204,127.6645482
웅천초등학교 건너편,전라남도 여수시 웅천동 1674,가,도로,학교지역,34.74982512,127.6745678
불로만숯불바베큐 앞,전라남도 여수시 여서동  479,나,도로,일반주거지역,34.74961027,127.7021014
새마을금고 앞,전라남도 여수시 국동 414,나,도로,준주거지역,34.73043121,127.7173578
순천성가롤로병원 앞,전라남도 순천시 조례동 1742,가,도로,종합병원지역,34.96470795,127.5431363
순천승평중학교 앞,전라남도 순천시 신대리 1967,가,도로,학교지역,34.93803172,127.5455277
로이젠 앞,전라남도 순천시 조례동 489-4,나,도로,일반주거지역,34.95502071,127.5223329
volvik 건너편,전라남도 순천시 연향동 1358,나,도로,준주거지역,34.94759975,127.5151799
포항성모병원,경상북도 포항시 남구 대잠동 985도,가,도로,종합병원지역,36.01645243,129.341039
포항제철중학교,경상북도 포항시 남구 지곡동 925-3도,가,도로,학교지역,36.02043477,129.3252032
가온누리빌딩 앞,경상북도 포항시 남구 오천읍 원리 950도,나,도로,일반주거지역,35.97068125,129.4041585
한우랑 앞,경상북도 포항시 북구 양덕동 656-1도,나,도로,준주거지역,36.08998229,129.3886461
KB국민은행 앞,경상북도 포항시 북구 죽도동 691도,다,도로,상업지역,36.01910657,129.3550061
반송중학교,경상남도 창원시 성산구 반림동 19,가,도로,학교지역,35.23591012,128.6742353
삼화페인트,경상남도 창원시 의창구 명서동 144-8,가,도로,전용주거지역,35.2483353,128.6483574
창원병원 정문,경상남도 창원시 성산구 중앙동 104-1,가,도로,종합병원지역,35.21818913,128.6699653
동여중입구,제주특별자치도 제주시 이도이동 339,가,도로,학교지역,33.50245094,126.5396047
농협도지부,제주특별자치도 제주시 삼도일동 788-17,나,도로,일반주거지역,33.50663774,126.5198636
행남자기 제주총판,제주특별자치도 제주시 건입동 674-32,나,도로,준주거지역,33.5151136,126.5386391
[IOT]동춘빌딩 앞,부산광역시 서구 동대신동 1가 230-2,가,일반,녹지지역,35.107729,129.021111
[IOT]용인대정도태권도 앞,부산광역시 서구 동대신동 1가 230-2,가,일반,녹지지역,35.108845,129.020098
[IOT]맛나칼국수 앞,부산광역시 서구 부민동 2가 18,가,일반,녹지지역,35.10264,129.019781
[IOT]서원탑훼미리마트 앞,부산광역시 서구 부민동 2가 18,가,일반,녹지지역,35.102105,129.018692
[IOT]그린컴퓨터 앞,부산광역시 부산진구 부전동 573-1,가,일반,녹지지역,35.154238,129.059287
[IOT]한국전력공사 앞,부산광역시 부산진구 부전동 573-1,가,일반,녹지지역,35.153406,129.059938
[IOT]은성 인테리어 건너편,부산광역시 부산진구 연지동 73-1,가,일반,녹지지역,35.172951,129.054838
[IOT]초원 과메기 앞,부산광역시 부산진구 연지동 74-1,가,일반,녹지지역,35.171917,129.055593
[IOT]새동래 3차 5동 앞,부산광역시 동래구 수안동 42,가,일반,녹지지역,35.195969,129.085736
[IOT]수안동신맨션 앞,부산광역시 동래구 수안동 42,가,일반,녹지지역,35.197117,129.086036
[IOT]삼겹한마당 앞,부산광역시 남구 대연동 1014,가,일반,녹지지역,35.130265,129.095675
[IOT]해정아구찜 건너편,부산광역시 남구 대연동 1015-3,가,일반,녹지지역,35.129429,129.098432
[IOT]삼월할인마트 앞,부산광역시 남구 용호동 565,가,일반,녹지지역,35.123737,129.115198
[IOT]용호행복주택 아파트 앞,부산광역시 남구 용호동 87-10,가,일반,녹지지역,35.124527,129.115074
[IOT]푸라닭치킨 앞,부산광역시 사하구 괴정동 1083,가,일반,녹지지역,35.100874,128.983419
[IOT]교촌치킨 앞,부산광역시 사하구 괴정동 661-1,가,일반,녹지지역,35.099911,128.983355
[IOT]대신화학 앞,부산광역시 사하구 신평동 370-24,가,일반,녹지지역,35.085583,128.966652
[IOT]브이에프테크 앞,부산광역시 사하구 신평동 583,가,일반,녹지지역,35.087783,128.967475
[IOT]카페토드 앞,부산광역시 사하구 신평동 583,가,일반,녹지지역,35.089796,128.976276
[IOT]덕성직물 앞,부산광역시 사하구 신평동 664,가,일반,녹지지역,35.094044,128.958476
[IOT]삼성인더스트리 앞,부산광역시 사하구 신평동 664,가,일반,녹지지역,35.094699,128.958712
[IOT]동매힐스 앞,부산광역시 사하구 신평동 583,가,일반,녹지지역,35.090231,128.974407
